"Date","first_purchase_os_name","totalOS"
"2021-01-11","Windows 10",3864
"2021-05-26","Mac OS X",3863
"2018-05-09","Mac OS X",3861
"2019-05-07","Windows 10",3860
"2021-04-06","Mac OS X",3859
"2019-04-10","Mac OS X",3857
"2016-06-21","Windows 10",3855
"2019-07-23","Windows 10",3853
"2020-12-09","Mac OS X",3850
"2018-09-26","Mac OS X",3847
"2021-07-08","Windows 10",3847
"2018-10-16","Windows 10",3846
"2020-04-17","Windows 10",3846
"2021-01-26","Mac OS X",3845
"2020-05-01","Windows 10",3845
"2021-01-04","Windows 10",3839
"2016-06-20","Mac OS X",3833
"2020-12-30","Mac OS X",3830
"2017-08-22","Windows 10",3830
"2019-08-06","Windows 10",3829
"2020-11-10","Mac OS X",3826
"2021-02-08","Windows 10",3823
"2018-10-30","Windows 10",3821
"2021-01-25","Windows 10",3818
"2019-07-10","Mac OS X",3814
"2021-02-23","Mac OS X",3810
"2018-08-22","Mac OS X",3809
"2021-09-09","Windows 10",3802
"2020-12-22","Windows 10",3801
"2020-07-20","Windows 10",3796
"2021-01-18","Windows 10",3794
"2020-05-15","Windows 10",3789
"2020-11-17","Mac OS X",3787
"2020-06-22","Windows 10",3785
"2020-08-18","Mac OS X",3785
"2020-09-15","Mac OS X",3785
"2020-01-30","Windows 10",3783
"2020-07-06","Windows 10",3782
"2019-01-15","Mac OS X",3779
"2018-03-13","Mac OS X",3779
"2020-04-22","Mac OS X",3776
"2021-06-02","Mac OS X",3775
"2019-04-09","Windows 10",3772
"2017-02-13","Mac OS X",3767
"2018-09-04","Windows 10",3766
"2020-03-10","Mac OS X",3764
"2020-07-13","Windows 10",3764
"2019-06-04","Windows 10",3761
"2020-08-25","Mac OS X",3759
"2018-02-12","Windows 10",3757
"2020-03-24","Mac OS X",3756
"2019-10-30","Mac OS X",3752
"2020-09-29","Mac OS X",3751
"2021-07-29","Windows 10",3750
"2018-02-13","Mac OS X",3748
"2020-05-28","Mac OS X",3748
"2018-06-05","Windows 10",3747
"2020-11-04","Mac OS X",3743
"2019-12-10","Windows 10",3741
"2019-06-06","Mac OS X",3739
"2019-04-24","Windows 10",3735
"2021-06-24","Windows 10",3733
"2021-04-26","Windows 10",3732
"2018-02-13","Windows 10",3731
"2018-08-08","Mac OS X",3729
"2021-02-16","Mac OS X",3729
"2020-04-13","Windows 10",3728
"2020-05-07","Mac OS X",3723
"2021-06-17","Windows 10",3722
"2017-12-05","Windows 10",3719
"2021-09-02","Windows 10",3717
"2021-02-22","Windows 10",3715
"2021-06-09","Mac OS X",3713
"2020-05-29","Windows 10",3713
"2021-08-05","Windows 10",3708
"2020-08-11","Mac OS X",3705
"2021-12-09","Windows 10",3704
"2018-04-24","Mac OS X",3702
"2019-03-26","Mac OS X",3701
"2018-07-11","Windows 10",3701
"2021-04-13","Mac OS X",3698
"2017-08-22","Mac OS X",3693
"2020-10-06","Mac OS X",3688
"2021-06-30","Mac OS X",3687
"2017-12-05","Mac OS X",3683
"2021-03-08","Windows 10",3680
"2021-09-16","Windows 10",3678
"2021-08-26","Windows 10",3675
"2018-07-25","Mac OS X",3675
"2019-06-18","Windows 10",3674
"2017-06-20","Windows 10",3673
"2021-07-15","Windows 10",3673
"2019-06-05","Windows 10",3672
"2020-05-14","Mac OS X",3670
"2020-04-06","Windows 10",3670
"2019-06-19","Windows 10",3663
"2020-10-27","Mac OS X",3662
"2020-09-22","Mac OS X",3661
"2018-10-02","Windows 10",3657
"2019-08-07","Mac OS X",3655
"2020-09-08","Mac OS X",3653
"2021-12-01","Mac OS X",3650
"2021-04-27","Mac OS X",3647
"2021-03-30","Mac OS X",3647
"2021-03-23","Mac OS X",3646
"2020-05-25","Windows 10",3645
"2020-01-14","Mac OS X",3645
"2021-10-18","Windows 10",3645
"2018-06-28","Mac OS X",3644
"2021-07-07","Mac OS X",3644
"2021-09-01","Mac OS X",3642
"2019-05-21","Windows 10",3641
"2020-04-01","Mac OS X",3639
"2021-09-23","Windows 10",3634
"2020-04-08","Windows 10",3632
"2021-12-21","Windows 10",3629
"2018-04-10","Mac OS X",3626
"2016-04-08","Windows 7",3624
"2020-10-20","Mac OS X",3624
"2021-10-28","Windows 10",3623
"2020-06-19","Windows 10",3618
"2021-08-12","Windows 10",3618
"2020-07-27","Windows 10",3618
"2020-05-22","Windows 10",3617
"2020-10-13","Mac OS X",3614
"2020-04-02","Windows 10",3614
"2020-12-10","Windows 10",3610
"2018-03-27","Mac OS X",3610
"2021-08-19","Windows 10",3606
"2021-07-22","Windows 10",3603
"2021-02-15","Windows 10",3602
"2018-11-20","Mac OS X",3599
"2018-02-12","Mac OS X",3598
"2021-12-28","Windows 10",3595
"2021-06-16","Mac OS X",3592
"2019-05-23","Mac OS X",3591
"2018-05-22","Windows 10",3589
"2020-03-12","Windows 10",3586
"2020-08-03","Windows 10",3586
"2021-06-23","Mac OS X",3586
"2017-11-23","Mac OS X",3580
"2018-08-21","Windows 10",3579
"2021-05-03","Windows 10",3575
"2014-11-26","Windows 7",3574
"2021-05-17","Windows 10",3574
"2020-02-11","Mac OS X",3574
"2020-08-17","Windows 10",3574
"2020-01-28","Mac OS X",3573
"2021-09-29","Mac OS X",3571
"2020-08-24","Windows 10",3571
"2019-09-17","Mac OS X",3567
"2021-10-07","Windows 10",3559
"2016-09-14","Mac OS X",3553
"2021-04-20","Mac OS X",3551
"2021-06-07","Windows 10",3550
"2020-12-16","Mac OS X",3550
"2020-06-05","Windows 10",3548
"2019-05-22","Windows 10",3546
"2020-06-11","Mac OS X",3544
"2017-11-23","Windows 10",3541
"2021-05-04","Mac OS X",3538
"2017-06-20","Mac OS X",3538
"2019-01-29","Mac OS X",3538
"2020-05-21","Mac OS X",3538
"2018-09-04","Mac OS X",3537
"2018-10-16","Mac OS X",3537
"2020-07-10","Windows 10",3536
"2021-05-24","Windows 10",3531
"2020-04-09","Windows 10",3529
"2016-11-24","Mac OS X",3527
"2020-07-17","Windows 10",3525
"2020-02-25","Mac OS X",3523
"2021-04-19","Windows 10",3523
"2019-12-11","Mac OS X",3520
"2018-02-01","Windows 10",3520
"2018-06-19","Windows 10",3518
"2019-06-20","Mac OS X",3513
"2018-12-31","Windows 10",3507
"2019-07-24","Mac OS X",3502
"2020-09-14","Windows 10",3500
"2020-04-07","Windows 10",3499
"2020-05-08","Windows 10",3498
"2016-11-02","Windows 10",3498
"2021-05-10","Windows 10",3495
"2018-05-07","Windows 10",3494
"2021-01-28","Mac OS X",3492
"2020-11-26","Windows 10",3492
"2018-12-19","Mac OS X",3490
"2021-11-06","Windows 10",3489
"2021-03-19","Windows 10",3486
"2018-12-05","Mac OS X",3484
"2020-09-21","Windows 10",3483
"2019-05-07","Mac OS X",3480
"2021-05-11","Mac OS X",3480
"2020-05-04","Mac OS X",3479
"2021-03-26","Windows 10",3476
"2020-10-19","Windows 10",3474
"2019-12-03","Windows 10",3469
"2021-11-19","Windows 10",3467
"2018-05-08","Windows 10",3466
"2021-01-15","Windows 10",3465
"2021-08-25","Mac OS X",3464
"2019-04-23","Mac OS X",3463
"2020-02-12","Mac OS X",3463
"2020-11-24","Mac OS X",3456
"2017-02-13","Windows 10",3454
"2021-02-19","Windows 10",3452
"2018-02-01","Mac OS X",3452
"2021-05-18","Mac OS X",3451
"2020-06-04","Mac OS X",3450
"2020-06-26","Windows 10",3450
"2020-04-03","Windows 10",3450
"2020-06-12","Windows 10",3449
"2018-12-04","Windows 10",3449
"2020-12-08","Mac OS X",3448
"2021-11-08","Windows 10",3448
"2020-11-03","Mac OS X",3444
"2015-09-03","Windows 7",3444
